from,AIS,BSC,CHAR,CMCR,COLL,CSCL,CSCO,ECEL,FABR,LOGI,OMOF,OPOP,PEPU,PLAN,SAFE,TETE,WELF,WIWO
AIS,-3,1,-1,0,-2,2,3,3,-1,0,0,0,-2,-2,1,-2,1,-2
BSC,0,-3,0,0,-2,1,2,1,0,2,0,0,-2,-1,2,-2,1,1
CHAR,3,1,-3,3,-2,2,3,3,-1,0,0,3,-2,-2,1,-2,1,-2
CMCR,1,1,-1,-3,-2,1,3,3,-2,-2,-1,0,-3,-2,0,-2,0,-3
COLL,-2,-1,-2,-2,-3,-2,0,-2,-2,-2,-2,-2,-1,-3,-2,-1,0,-1
CSCL,1,1,1,0,-2,-3,2,1,1,0,-1,0,-2,-1,1,-2,1,0
CSCO,0,2,0,-1,-2,2,-3,0,0,2,1,0,-2,0,2,-2,1,1
ECEL,-1,2,-1,-2,-2,2,3,-3,-1,0,0,-1,-2,-2,1,-2,1,-1
FABR,3,1,3,3,-2,2,3,3,-3,0,0,3,-2,-2,1,-2,1,2
LOGI,-1,2,-1,-2,-2,0,2,-1,0,-3,-2,-1,-3,-1,3,-2,0,0
OMOF,0,0,0,-1,-2,1,2,0,0,-1,-3,-1,-2,-3,-2,-2,0,0
OPOP,2,0,-1,1,-2,2,3,3,-1,-1,-1,-3,-2,-2,1,-2,1,-2
PEPU,-2,-2,-2,-3,-1,-2,-2,-2,-2,-2,-2,-2,-3,-3,-3,-1,-1,-2
PLAN,-2,0,-2,-3,-3,0,0,-2,-2,1,-3,-2,-3,-3,1,-3,-1,1
SAFE,1,2,1,0,-3,1,2,1,1,3,-2,1,-3,0,-3,-3,1,1
TETE,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-3,-3,-3,-1,-1
WELF,1,2,1,0,0,2,2,1,1,2,0,1,-1,-1,2,-1,-3,1
WIWO,-2,1,-2,-3,-2,0,1,-2,-1,1,-1,-2,-2,-2,1,-2,0,-3
